,Image,Accuracy,F1,Jaccard,Recall,Precision
0,adult-baby-background-bump-41286_0,0.9774055480957031,0.982527353556331,0.9656548085007683,0.9882618242240817,0.9768590484346862
1,adult-caucasian-child-daughter-41316_0,0.9830780029296875,0.9888191556395716,0.9778855692870638,0.9828292849126182,0.9948824848097542
2,aircraft-women-fashion-pilot-48797_0,0.9863166809082031,0.9914848058265103,0.9831134042943832,0.9909649131132138,0.992005244331704
3,american-football-football-football-player-quarterback-159819_0,0.9762077331542969,0.96303189440055,0.9286996284652758,0.9751524463436885,0.9512089456120836
4,american-football-referees-american-football-football-referees-decision-making-163454_0,0.9751930236816406,0.9796948133252983,0.960197817398383,0.9764659749410249,0.9829450758762421
5,baby-boy-child-cuddle-40975_0,0.9959068298339844,0.9975819118896468,0.9951754898698776,0.9983356036481403,0.9968293572692839
6,baby-child-cute-doll-41307_0,0.8977928161621094,0.9033772696947294,0.8237812738417827,0.9943791233655396,0.8276351958555797
7,ball-bauble-christmas-decoration-41516_0,0.9921875,0.9942869895112698,0.9886388851906093,0.9945810801006769,0.9939930727914642
8,ballerina-in-the-city-girl-beautiful-cute-161000_0,0.9877281188964844,0.9344766482677149,0.8770118897427075,0.9422105392861544,0.9268686868686868
9,baseball-player-running-sport-163209_0,0.9960098266601562,0.993337324993312,0.9867628448494052,0.9927934810287752,0.9938817651107655
10,bass-guitar-musician-instrument-guitarist-159260_0,0.9353256225585938,0.9249072080930488,0.8603045384133681,0.964063452198482,0.8888075456278943
11,beautiful-cute-dress-eyes-41537_0,0.9926719665527344,0.9949829587745987,0.9900160076504095,0.9920836219512831,0.997899291731277
12,beautiful-face-female-girl-41533_0,0.9945793151855469,0.9957227267391285,0.9914818877719233,0.9959595594655298,0.9954860066205237
13,beautiful-woman-picnic-spring-vintage-val_0,0.9830818176269531,0.9840995543572958,0.9686968428630919,0.9972678389768929,0.9712744952336468
14,beverage-diet-drink-female-41556_0,0.892547607421875,0.8837953795379537,0.791786168356938,0.7964192509870108,0.9927064122406235
15,black-and-white-silhouette-girl-playful-463193_0,0.9958610534667969,0.9870880984398614,0.9745053808919593,0.9872408293460925,0.9869354147827328
16,black-white-bw-nature-dress-157915_0,0.9913139343261719,0.9908444276460489,0.9818549833053096,0.9930525331656914,0.9886461200221461
